title,AC,FF15,FF7,GOW,GTA4,GTA5,LASTOFUS,MGS,MHW,RDR2
AC,0.9999999999999998,0.3831232818676386,-0.12309149097933259,-0.012815774135146653,-0.04754330548804468,-0.1489923873929707,0.0820609939862219,0.02837950236056587,0.23869648112406272,-0.1363636363636362
FF15,0.3831232818676386,1.0,-0.13449109746432153,-0.03900739260141337,-0.0751366573213385,-0.16279069767441898,-0.13449109746432153,0.0033222591362126012,-0.08235864093362708,0.028379502360565807
FF7,-0.1230914909793326,-0.13449109746432153,1.0,0.01735264020984513,-0.01609348498617553,0.05763904177042361,-0.11111111111111113,-0.13449109746432156,-0.0680413817439772,0.08206099398622192
GOW,-0.012815774135146655,-0.03900739260141337,0.017352640209845133,1.0,0.002513380092188777,0.11102104048094577,0.017352640209845144,-0.03900739260141339,-0.09563650695950078,-0.17301295082447832
GTA4,-0.04754330548804469,-0.0751366573213385,-0.016093484986175525,0.0025133800921887774,0.9999999999999999,0.0640053006811403,-0.17702833484793143,0.06400530068114027,0.13797289239745267,-0.04754330548804462
GTA5,-0.1489923873929707,-0.162790697674419,0.057639041770423616,0.11102104048094577,0.0640053006811403,0.9999999999999999,0.05763904177042367,0.16943521594684416,-0.0823586409336271,0.2057513921141024
LASTOFUS,0.0820609939862219,-0.13449109746432153,-0.11111111111111113,0.01735264020984514,-0.17702833484793143,0.057639041770423664,1.0,-0.1344910974643215,0.2721655269759088,-0.12309149097933264
MGS,0.028379502360565866,0.0033222591362126012,-0.13449109746432156,-0.03900739260141339,0.06400530068114027,0.16943521594684416,-0.1344910974643215,0.9999999999999999,-0.08235864093362708,0.028379502360565956
MHW,0.23869648112406272,-0.08235864093362709,-0.0680413817439772,-0.0956365069595008,0.13797289239745267,-0.0823586409336271,0.2721655269759088,-0.08235864093362708,1.0,-0.07537783614444087
RDR2,-0.1363636363636362,0.028379502360565807,0.08206099398622192,-0.17301295082447832,-0.04754330548804462,0.2057513921141024,-0.12309149097933263,0.028379502360565953,-0.07537783614444087,0.9999999999999998
